일시,서울시 추가 확진,1차접종 누계,2차접종 누계,3차접종 누계,4차접종 누계,동절기접종 누계,평균기온(°C),평균 상대습도(%),평균 지면온도(°C),평균 30cm 지중온도(°C),5.0m 지중온도(°C),지하철 승차 인원,일 미세먼지 농도(㎍/㎥),
2020-02-05,0,0,0,0,0,0,-8.3,37.3,-2.5,3,15.6,4619959,28,
2020-02-06,0,0,0,0,0,0,-6.4,36.4,-2.7,2.3,15.5,4562751,46,
2020-02-07,0,0,0,0,0,0,-1.7,45.1,-0.4,1.9,15.5,4768539,44,
2020-02-08,0,0,0,0,0,0,-0.1,48.1,1.4,1.9,15.4,3027165,50,
2020-02-09,0,0,0,0,0,0,-0.5,51.1,0.5,2.2,15.4,2174361,42,
2020-02-10,0,0,0,0,0,0,4,49.4,3.4,2.5,15.3,4617563,54,
2020-02-11,0,0,0,0,0,0,6.8,37,0.6,2.5,15.3,4775250,68,
2020-02-12,0,0,0,0,0,0,7.4,73.4,5.8,4.3,15.2,4650762,63,
2020-02-13,0,0,0,0,0,0,6.5,84.8,6.6,5.2,15.3,4849685,90,
2020-02-14,0,0,0,0,0,0,8.1,70.3,6.9,5.6,15.1,5078672,99,
2020-02-15,0,0,0,0,0,0,9.8,63,6.6,6.2,15.1,3386295,76,
2020-02-16,0,0,0,0,0,0,-1.4,81.1,2.2,6.2,15.1,2311506,58,
2020-02-17,0,0,0,0,0,0,-5.9,64.3,0.3,4.7,15.1,4748610,58,
2020-02-18,0,0,0,0,0,0,-4.1,44,-0.1,3.8,15,4782542,29,
2020-02-19,0,0,0,0,0,0,1,56.8,1.8,3.4,15,4832990,43,
2020-02-20,0,0,0,0,0,0,4.6,62.6,4,3.7,14.9,4745403,76,
2020-02-21,0,0,0,0,0,0,6.7,66.3,4.4,4.4,14.9,4650723,76,
2020-02-22,0,0,0,0,0,0,4,62,4.2,5.3,14.8,2682328,75,
2020-02-23,0,0,0,0,0,0,2.5,48.6,3.6,4.8,14.8,1761061,24,
2020-02-24,0,0,0,0,0,0,7,51.8,6.1,5.1,14.8,3955006,42,
